dialogue,글자수
# 짧은 일반 대화 데이터셋 (100-200자),26
"오늘 점심 뭐 드실 예정이세요? 회사 근처에 새로 생긴 이탈리안 레스토랑이 있다던데 어떠세요?
오, 그거 좋네요!
파스타랑 피자 둘 다 맛있다고 하더라고요. 같이 가실래요?
네, 좋아요!",104
"안녕하세요! 혹시 지하철역까지 가는 길 아시나요?
아, 여기서 직진하시면 돼요.
직진하면 바로 나오나요?
네, 5분 정도 걸려요.
감사합니다! 정말 도움이 됐어요.
천만에요!",97
"요즘 운동 하세요? 저는 헬스장에 다니기 시작했는데 생각보다 재미있어요.
좋네요! 어떤 운동 하세요?
주로 러닝머신이랑 웨이트 트레이닝 해요. 처음엔 힘들었는데 점점 재밌어져요.
저도 시작해볼까요?
추천해요!",116
"오늘 회의는 몇 시부터인가요? 준비할 자료가 있어서 미리 확인하고 싶어서요.
오후 3시요.
감사합니다! 혹시 발표 순서도 정해졌나요?
아직 안 정해졌어요.
알겠습니다. 그럼 자료 준비해서 기다리고 있을게요.
네, 고생하세요.",125
"이번 프로젝트 정말 잘 마무리한 것 같아요. 팀워크가 좋았던 것 같아요.
다들 고생 많았죠.
네, 특히 마지막에 야근할 때 서로 도와준 게 좋았어요.
맞아요.",88
"아이들이 방학이라 어디 여행 갈까 고민 중이에요. 추천할 만한 곳 있나요?
제주도는 어때요?
좋은 생각이네요! 아이들이 바다를 좋아해서 딱일 것 같아요.
네, 체험 프로그램도 많아요.
정보 감사해요!",111
"오늘 날씨가 정말 좋네요. 산책하기 딱 좋은 것 같아요.
그러게요.
점심 먹고 잠깐 공원 산책할까요? 벤치에 앉아서 커피도 마시고요.
좋은 생각이에요.
그럼 1시에 로비에서 만날까요?
네!",105
"회사 앞 새로 생긴 베이커리 가보셨나요? 빵이 정말 맛있다던데요.
아직 안 가봤어요.
크루아상이랑 식빵이 특히 유명하대요. 같이 가보실래요?
좋아요!",83
"새로운 취미를 시작하고 싶은데 뭐가 좋을까요? 집에서 할 수 있는 걸로요.
그림은 어때요?
그림도 좋네요! 수채화나 유화 중에 뭐가 초보자에게 좋을까요?
수채화가 쉬워요.
조언 감사해요!",104
"오늘 점심 메뉴 추천해주세요. 뭔가 새로운 걸 먹어보고 싶어요.
태국 음식은 어때요?
좋네요! 어떤 메뉴가 맛있나요?
팟타이나 똠양꿍 추천해요.
그럼 태국 음식점 가볼게요. 감사해요!
맛있게 드세요!",111
"오늘 아침에 조깅했는데 날씨가 정말 좋더라고요. 상쾌한 기분이에요.
몇 시에 나가셨어요?
6시 반쯤이요. 사람도 별로 없고 공기도 맑아서 좋았어요.
저도 내일 해봐야겠어요.",96
"이번에 새로 나온 스마트폰 어떤 것 같아요? 바꿀까 말까 고민 중이에요.
어떤 기종이요?
아이폰 15 프로요. 카메라 성능이 많이 좋아졌다던데요.
카메라 중요하시면 바꾸세요.
한번 더 생각해볼게요.",110
"주말에 영화 보러 갈 계획이에요. 요즘 재미있는 영화 뭐가 있나요?
장르 선호도 있어요?
액션이나 코미디 좋아해요.
가디언즈 오브 갤럭시 어때요?
재미있을 것 같네요!
꼭 보세요!",100
"오늘 저녁에 비 온다던데, 우산 챙기셨나요?
깜빡했네요.
저 여분 우산 있어서 빌려드릴게요.
정말 감사합니다!",61
"이번 여름휴가 계획 세우고 계세요? 어디 가고 싶으신가요?
바다로 가고 싶어요.
좋네요! 동해쪽이랑 서해쪽 중에 어디가 좋을까요?
동해가 물이 더 깨끗해요.
참고할게요!",94
"새로 배우고 싶은 언어가 있어서 고민 중이에요. 추천해주실 만한 언어 있나요?
어떤 목적이세요?
여행이나 문화 체험 목적이에요.
스페인어나 일본어요.
둘 다 매력적이네요!
관심 있는 나라부터요.",108
"내일 회사 워크샵이 있다던데, 준비물이나 복장에 특별한 게 있나요?
편한 복장으로 오시면 돼요.
감사합니다! 혹시 점심은 제공되나요?
네, 도시락으로 준비돼 있어요.",92
"새로운 스터디카페 이용해보셨나요? 시설이 어떤지 궁금해요.
깔끔하고 조용해요.
개인실도 있나요?
네, 예약 필요하지만요.
정보 감사해요!",76
"이번에 새로 시작한 온라인 강의가 정말 유익해요. 추천드리고 싶어요.
어떤 강의예요?
디지털 마케팅 관련 강의예요.
어떤 플랫폼에서요?
유데미에서 들었어요.
저도 관심 있어서 한번 봐야겠어요!",107
"오늘 점심시간에 산책하는 건 어떠세요? 날씨도 좋고 바람도 시원해서요.
좋은 생각이에요!
공원 쪽으로 갈까요?
네, 그럼 12시에 만나요!",77
"친구들과 보드게임 모임을 하려고 하는데 추천할 만한 게임 있나요?
몇 명이서 해요?
4-5명 정도요.
카탄이나 스플렌더 어때요?
재미있을 것 같네요!",83
"주말에 등산 가실 계획 있으세요? 날씨가 정말 좋을 것 같아서요.
어느 산으로요?
북한산 어떠세요?
좋네요, 코스는?
백운대 코스로요.
같이 가도 될까요?",86
"오늘 회사 점심 메뉴 뭐가 나오는지 아세요? 급식표를 못 봤거든요.
오늘은 돈까스예요.
좋네요! 샐러드도 나오나요?
네, 코울슬로 샐러드요.",78
"새로운 헤어스타일로 바꿔보고 싶은데 어떤 게 좋을까요?
얼굴형이 어떻게 되세요?
계란형이에요.
그럼 대부분 어울릴 거예요.
미용실 가서 상담받아봐야겠어요.",86
